,R. salebrosus,descriptions
PF04515,2,Plasma-membrane choline transporter
PF19026,2,HYPK UBA domain
PF02580,2,D-Tyr-tRNA(Tyr) deacylase
PF12257,2,Vacuolar membrane-associated protein Iml1
PF02219,2,Methylenetetrahydrofolate reductase
PF02678,2,Pirin
PF05743,2,UEV domain
PF16543,2,"DRG Family Regulatory Proteins, Tma46"
PF02364,2,"1,3-beta-glucan synthase component"
PF07228,2,Stage II sporulation protein E (SpoIIE)
PF01793,2,Glycolipid 2-alpha-mannosyltransferase
PF05191,2,"Adenylate kinase, active site lid"
PF00448,2,"SRP54-type protein, GTPase domain"
PF02881,2,"SRP54-type protein, helical bundle domain"
PF00701,2,Dihydrodipicolinate synthetase family
PF18115,2,DNA repair protein Crb2 Tudor domain
PF10568,2,Outer mitochondrial membrane transport complex protein
PF17172,2,Glutathione S-transferase N-terminal domain
PF04921,2,"XAP5, circadian clock regulator"
PF06728,2,GPI transamidase subunit PIG-U
PF01137,2,RNA 3'-terminal phosphate cyclase
PF05189,2,"RNA 3'-terminal phosphate cyclase (RTC), insert domain"
PF16278,2,C2HE / C2H2 / C2HC zinc-binding finger
PF01849,2,NAC domain
PF00804,2,Syntaxin
PF05208,2,ALG3 protein
PF08229,2,ER membrane protein SH3
PF12895,2,"Anaphase-promoting complex, cyclosome, subunit 3"
PF03215,2,Rad17 P-loop domain
PF06155,2,"Gamma-butyrobetaine hydroxylase-like, N-terminal"
PF00631,2,GGL domain
PF08643,2,Fungal family of unknown function (DUF1776)
PF13696,2,Zinc knuckle
PF01805,2,Surp module
PF00456,2,"Transketolase, thiamine diphosphate binding domain"
PF00282,2,Pyridoxal-dependent decarboxylase conserved domain
PF02852,2,"Pyridine nucleotide-disulphide oxidoreductase, dimerisation domain"
PF04110,2,Ubiquitin-like autophagy protein Apg12
PF12223,2,Protein of unknown function (DUF3602)
PF04095,2,Nicotinate phosphoribosyltransferase (NAPRTase) family
PF03358,2,NADPH-dependent FMN reductase
PF04815,2,Sec23/Sec24 helical domain
PF00387,2,"Phosphatidylinositol-specific phospholipase C, Y domain"
PF00388,2,"Phosphatidylinositol-specific phospholipase C, X domain"
PF01135,2,Protein-L-isoaspartate(D-aspartate) O-methyltransferase (PCMT)
PF00982,2,Glycosyltransferase family 20
PF02358,2,Trehalose-phosphatase
PF00314,2,Thaumatin family
PF09814,2,HECT-like Ubiquitin-conjugating enzyme (E2)-binding
PF00333,2,"Ribosomal protein S5, N-terminal domain"
PF03719,2,"Ribosomal protein S5, C-terminal domain"
PF13656,2,RNA polymerase Rpb3/Rpb11 dimerisation domain
PF00828,2,"Ribosomal proteins 50S-L15, 50S-L18e, 60S-L27A"
PF04113,2,"Gpi16 subunit, GPI transamidase component"
PF03124,2,EXS family
PF00174,2,Oxidoreductase molybdopterin binding domain
PF03404,2,Mo-co oxidoreductase dimerisation domain
PF04324,2,BFD-like [2Fe-2S] binding domain
PF08311,2,Mad3/BUB1 homology region 1
PF08498,2,Sterol methyltransferase C-terminal
PF04108,2,Autophagy protein ATG17-like domain
PF03908,2,Sec20
PF08616,2,Stabilization of polarity axis
PF06428,2,GDP/GTP exchange factor Sec2p
PF02911,2,"Formyl transferase, C-terminal domain"
PF01968,2,Hydantoinase/oxoprolinase
PF05378,2,Hydantoinase/oxoprolinase N-terminal region
PF07818,2,HCNGP-like protein
PF01650,2,Peptidase C13 family
PF16499,2,Alpha galactosidase A
PF17801,2,Alpha galactosidase C-terminal beta sandwich domain
PF04034,2,"Ribosome biogenesis protein, C-terminal"
PF00111,2,2Fe-2S iron-sulfur cluster binding domain
PF13279,2,Thioesterase-like superfamily
PF01554,2,MatE
PF00238,2,Ribosomal protein L14p/L23e
PF02487,2,CLN3 protein
PF08598,2,Sds3-like
PF15916,2,Domain of unknown function (DUF4743)
PF01873,2,Domain found in IF2B/IF5
PF18564,2,Glycoside hydrolase family 5 C-terminal domain
PF07428,2,15-O-acetyltransferase Tri3
PF06699,2,GPI biosynthesis protein family Pig-F
PF04821,2,Timeless protein
PF03467,2,Smg-4/UPF3 family
PF02801,2,"Beta-ketoacyl synthase, C-terminal domain"
PF00698,2,Acyl transferase domain
PF08154,2,NLE (NUC135) domain
PF00232,2,Glycosyl hydrolase family 1
PF08159,2,NUC153 domain
PF15496,2,Domain of unknown function (DUF4646)
PF10277,2,Frag1/DRAM/Sfk1 family
PF13439,2,Glycosyltransferase Family 4
PF13579,2,Glycosyl transferase 4-like domain
PF01321,2,Creatinase/Prolidase N-terminal domain
PF16189,2,Creatinase/Prolidase N-terminal domain
PF04073,2,Aminoacyl-tRNA editing domain
PF03403,2,"Platelet-activating factor acetylhydrolase, isoform II"
PF15469,2,Exocyst complex component Sec5
PF12349,2,Sterol-sensing domain of SREBP cleavage-activation
PF20511,2,"Phosphomannose isomerase type I, catalytic domain"
PF20512,2,"Phosphomannose isomerase type I, helical insertion domain"
PF00645,2,Poly(ADP-ribose) polymerase and DNA-Ligase Zn-finger region
PF08645,2,Polynucleotide kinase 3 phosphatase
PF02112,2,cAMP phosphodiesterases class-II
PF06159,2,Protein of unknown function (DUF974)
PF11968,2,"25S rRNA (adenine(2142)-N(1))-methyltransferase, Bmt2"
PF04502,2,Saf4/Yju2 protein
PF07910,2,Peptidase family C78
PF04178,2,Got1/Sft2-like family
PF02879,2,"Phosphoglucomutase/phosphomannomutase, alpha/beta/alpha domain II"
PF02880,2,"Phosphoglucomutase/phosphomannomutase, alpha/beta/alpha domain III"
PF01144,2,Coenzyme A transferase
PF02847,2,MA3 domain
PF13398,2,Peptidase M50B-like
PF07950,2,"MDM10-complementing protein 1, transmembrane domain"
PF08718,2,Glycolipid transfer protein (GLTP)
PF04424,2,MINDY deubiquitinase
PF07350,2,Protein of unknown function (DUF1479)
PF02544,2,3-oxo-5-alpha-steroid 4-dehydrogenase
PF04161,2,Arv1-like family
PF02297,2,Cytochrome oxidase c subunit VIb
PF03943,2,TAP C-terminal domain
PF03193,2,RsgA GTPase
PF12205,2,G protein-coupled receptor kinase-interacting protein 1 C term
PF13771,2,PHD-like zinc-binding domain
PF00185,2,"Aspartate/ornithine carbamoyltransferase, Asp/Orn binding domain"
PF02729,2,"Aspartate/ornithine carbamoyltransferase, carbamoyl-P binding domain"
PF16653,2,Saccharopine dehydrogenase C-terminal domain
PF04777,2,Erv1 / Alr family
PF12972,2,Alpha-N-acetylglucosaminidase (NAGLU) C-terminal domain
PF05089,2,Alpha-N-acetylglucosaminidase (NAGLU) tim-barrel domain
PF12971,2,Alpha-N-acetylglucosaminidase (NAGLU) N-terminal domain
PF20143,2,ATP-NAD kinase C-terminal domain
PF14737,2,Domain of unknown function (DUF4470)
PF20209,2,Domain of unknown function (DUF6570)
PF01088,2,"Ubiquitin carboxyl-terminal hydrolase, family 1"
PF10392,2,Golgi transport complex subunit 5
PF03561,2,Allantoicase repeat
PF08647,2,BRE1 E3 ubiquitin ligase
PF03909,2,BSD domain
PF17772,2,MYST family zinc finger domain
PF13434,2,L-lysine 6-monooxygenase/L-ornithine 5-monooxygenase
PF02176,2,TRAF-type zinc finger
PF12657,2,Transcription factor IIIC subunit delta N-term
PF12660,2,Putative zinc-finger of transcription factor IIIC complex
PF00988,2,"Carbamoyl-phosphate synthase small chain, CPSase domain"
PF01704,2,UTP--glucose-1-phosphate uridylyltransferase
PF01201,2,Ribosomal protein S8e
PF16884,2,N-terminal domain of oxidoreductase
PF15411,2,Pleckstrin homology domain
PF04893,2,Yip1 domain
PF08660,2,Oligosaccharide biosynthesis protein Alg14 like
PF12251,2,"snRNA-activating protein complex (SNAPc), subunit 3"
PF09805,2,Nucleolar protein 12 (25kDa)
PF04616,2,Glycosyl hydrolases family 43
PF00654,2,Voltage gated chloride channel
PF04119,2,Heat shock protein 9/12
PF03595,2,Voltage-dependent anion channel
PF04258,2,Signal peptide peptidase
PF00855,2,PWWP domain
PF02574,2,Homocysteine S-methyltransferase
PF05918,2,Apoptosis inhibitory protein 5 (API5)
PF02204,2,Vacuolar sorting protein 9 (VPS9) domain
PF02142,2,MGS-like domain
PF03313,2,Serine dehydratase alpha chain
PF03315,2,Serine dehydratase beta chain
PF08799,2,pre-mRNA processing factor 4 (PRP4) like
PF07500,2,"Transcription factor S-II (TFIIS), central domain"
PF01599,2,Ribosomal protein S27a
PF10495,2,Pericentrin-AKAP-450 domain of centrosomal targeting protein
PF17753,2,Ig-fold domain
PF08711,2,TFIIS helical bundle-like domain
PF10288,2,Cytoplasmic tRNA 2-thiolation protein 2
PF06745,2,KaiC
PF16978,2,"SAPK-interacting protein 1 (Sin1), middle CRIM domain"
PF07749,2,"Endoplasmic reticulum protein ERp29, C-terminal domain"
PF11915,2,Protein of unknown function (DUF3433)
PF09769,1,Apolipoprotein O
PF08285,1,Dolichol-phosphate mannosyltransferase subunit 3 (DPM3)
PF10644,1,Misato Segment II tubulin-like domain
PF14881,1,Tubulin domain
PF10155,1,CCR4-NOT transcription complex subunit 11
PF09262,1,"Peroxisome biogenesis factor 1, N-terminal"
PF00343,1,Carbohydrate phosphorylase
PF07955,1,Protein of unknown function (DUF1687)
PF02200,1,STE like transcription factor
PF05486,1,Signal recognition particle 9 kDa protein (SRP9)
PF05971,1,RNA methyltransferase
PF05529,1,Bap31/Bap29 transmembrane region
PF18035,1,Bap31/Bap29 cytoplasmic coiled-coil domain
PF04729,1,ASF1 like histone chaperone
PF00736,1,EF-1 guanine nucleotide exchange domain
PF00647,1,"Elongation factor 1 gamma, conserved domain"
PF04084,1,Origin recognition complex subunit 2
PF13945,1,Salt tolerance down-regulator
PF14555,1,UBA-like domain
PF08609,1,Nucleotide exchange factor Fes1
PF05686,1,Glycosyl transferase family 90
PF06870,1,A49-like RNA polymerase I associated factor
PF08236,1,SRI (Set2 Rpb1 interacting) domain
PF17907,1,AWS domain
PF10252,1,Casein kinase substrate phosphoprotein PP28
PF02320,1,Ubiquinol-cytochrome C reductase hinge protein
PF01625,1,Peptide methionine sulfoxide reductase
PF04568,1,"Mitochondrial ATPase inhibitor, IATP"
PF10775,1,ATP synthase complex subunit h
PF03715,1,Noc2p family
PF20180,1,Complex III assembly factor UQCC2/CBP6
PF04030,1,"D-arabinono-1,4-lactone oxidase"
PF10275,1,Peptidase C65 Otubain
PF18122,1,Anaphase-promoting complex sub unit 1 C-terminal domain
PF01287,1,"Eukaryotic elongation factor 5A hypusine, DNA-binding OB fold"
PF18380,1,Holliday junction resolvase Gen1 C-terminal domain
PF02145,1,Rap/ran-GAP
PF03542,1,Tuberin
PF02186,1,TFIIE beta subunit core domain
PF18121,1,TFA2 Winged helix domain 2
PF02586,1,SOS response associated peptidase (SRAP)
PF18101,1,Pan3 Pseudokinase domain
PF16815,1,Protein HRI1
PF01756,1,Acyl-CoA oxidase
PF08729,1,HPC2 and ubinuclein domain
PF14075,1,Ubinuclein conserved middle domain
PF18773,1,Importin 13 repeat
PF18806,1,Importin 13 repeat
PF08302,1,Fungal tRNA ligase phosphodiesterase domain
PF08303,1,tRNA ligase kinase domain
PF09511,1,RNA ligase
PF17216,1,Rrp44-like cold shock domain
PF17215,1,S1 domain
PF16770,1,Regulator of Ty1 transposition protein 107 BRCT domain
PF03416,1,Peptidase family C54
PF06108,1,Protein of unknown function (DUF952)
PF10337,1,"Putative ER transporter, 6TM, N-terminal"
PF17807,1,Variant UBP zinc finger
PF16863,1,"N-terminal barrel of NtMGAM and CtMGAM, maltase-glucoamylase"
PF08149,1,BING4CT (NUC141) domain
PF03813,1,Nrap protein domain 1
PF17403,1,Nrap protein PAP/OAS-like domain
PF17404,1,Nrap protein domain 3
PF17405,1,Nrap protein nucleotidyltransferase domain 4
PF17406,1,Nrap protein PAP/OAS1-like domain 5
PF17407,1,Nrap protein domain 6
PF03878,1,YIF1
PF08892,1,YqcI/YcgG family
PF14732,1,Ubiquitin/SUMO-activating enzyme ubiquitin-like domain
PF08144,1,CPL (NUC119) domain
PF03462,1,PCRF domain
PF01781,1,Ribosomal L38e protein family
PF14498,1,"Glycosyl hydrolase family 65, N-terminal domain"
PF10255,1,RNA polymerase I-associated factor PAF67
PF04421,1,Mss4 protein
PF00275,1,EPSP synthase (3-phosphoshikimate 1-carboxyvinyltransferase)
PF01202,1,Shikimate kinase
PF01487,1,Type I 3-dehydroquinase
PF01761,1,3-dehydroquinate synthase
PF08501,1,Shikimate dehydrogenase substrate binding domain
PF18317,1,Shikimate 5'-dehydrogenase C-terminal domain
PF06026,1,Ribose 5-phosphate isomerase A (phosphoriboisomerase A)
PF06052,1,3-hydroxyanthranilic acid dioxygenase
PF05328,1,"CybS, succinate dehydrogenase cytochrome B small subunit"
PF02538,1,Hydantoinase B/oxoprolinase
PF14658,1,EF-hand domain
PF03999,1,Microtubule associated protein (MAP65/ASE1 family)
PF08490,1,Domain of unknown function (DUF1744)
PF10108,1,Predicted 3'-5' exonuclease related to the exonuclease domain of PolB
PF07539,1,Down-regulated in metastasis
PF20416,1,Domain of unknown function (DUF6700)
PF01246,1,Ribosomal protein L24e
PF08569,1,Mo25-like
PF00121,1,Triosephosphate isomerase
PF02138,1,Beige/BEACH domain
PF13385,1,Concanavalin A-like lectin/glucanases superfamily
PF14844,1,PH domain associated with Beige/BEACH
PF10193,1,Telomere length regulation protein
PF00235,1,Profilin
PF03911,1,Sec61beta family
PF07817,1,GLE1-like protein
PF09531,1,Nucleoporin protein Ndc1-Nup
PF10033,1,Autophagy-related protein 13
PF12745,1,Anticodon binding domain of tRNAs
PF02732,1,ERCC4 domain
PF08491,1,Squalene epoxidase
PF14630,1,Origin recognition complex (ORC) subunit 5 C-terminus
PF08385,1,"Dynein heavy chain, N-terminal region 1"
PF04641,1,Rtf2 RING-finger
PF11221,1,Subunit 21 of Mediator complex
PF08631,1,Meiosis protein SPO22/ZIP4 like
PF04468,1,PSP1 C-terminal conserved region
PF08737,1,Rgp1
PF04752,1,ChaC-like protein
PF05958,1,tRNA (Uracil-5-)-methyltransferase
PF02207,1,Putative zinc finger in N-recognin (UBR box)
PF02617,1,ATP-dependent Clp protease adaptor protein ClpS
PF18995,1,Proteolysis_6 C-terminal
PF05251,1,Oligosaccharyltransferase subunit 5
PF08690,1,GET complex subunit GET2
PF05764,1,YL1 nuclear protein
PF02809,1,Ubiquitin interaction motif
PF04990,1,"RNA polymerase Rpb1, domain 7"
PF04992,1,"RNA polymerase Rpb1, domain 6"
PF05001,1,RNA polymerase Rpb1 C-terminal repeat
PF03635,1,Vacuolar protein sorting-associated protein 35
PF13862,1,BCCIP
PF01619,1,Proline dehydrogenase
PF08623,1,TATA-binding protein interacting (TIP20)
PF01280,1,Ribosomal protein L19e
PF04212,1,MIT (microtubule interacting and transport) domain
PF08234,1,Chromosome segregation protein Spc25
PF00204,1,DNA gyrase B
PF00521,1,"DNA gyrase/topoisomerase IV, subunit A"
PF01751,1,Toprim domain
PF16898,1,C-terminal associated domain of TOPRIM
PF01264,1,Chorismate synthase
PF00574,1,Clp protease
PF10256,1,Golgin subfamily A member 7/ERF4 family
PF04097,1,Nup93/Nic96
PF08123,1,Histone methylation protein DOT1
PF08880,1,QLQ
PF14619,1,"Snf2-ATP coupling, chromatin remodelling complex"
PF02735,1,Ku70/Ku80 beta-barrel domain
PF03731,1,Ku70/Ku80 N-terminal alpha/beta domain
PF08785,1,Ku C terminal domain like
PF16969,1,RNA-binding signal recognition particle 68
PF02374,1,Anion-transporting ATPase
PF13614,1,AAA domain
PF01106,1,NifU-like domain
PF08712,1,Scaffold protein Nfu/NifU N terminal
PF04185,1,Phosphoesterase family
PF07842,1,GC-rich sequence DNA-binding factor-like protein
PF12457,1,Tuftelin interacting protein N terminal
PF06726,1,Bladder cancer-related protein BC10
PF03198,1,Glucanosyltransferase
PF07983,1,X8 domain
PF10186,1,Vacuolar sorting 38 and autophagy-related subunit 14
PF00809,1,Pterin binding enzyme
PF01288,1,"7,8-dihydro-6-hydroxymethylpterin-pyrophosphokinase (HPPK)"
PF02278,1,"Polysaccharide lyase family 8, super-sandwich domain"
PF02884,1,"Polysaccharide lyase family 8, C-terminal beta-sandwich domain"
PF02877,1,"Poly(ADP-ribose) polymerase, regulatory domain"
PF05406,1,WGR domain
PF06991,1,Microfibril-associated/Pre-mRNA processing
PF05348,1,Proteasome maturation factor UMP1
PF09377,1,"SBDS protein, domain II"
PF20268,1,"SBDS protein, C-terminal domain"
PF06644,1,ATP11 protein
PF07156,1,Prenylcysteine lyase
PF14372,1,Domain of unknown function (DUF4413)
PF03028,1,Dynein heavy chain region D6 P-loop domain
PF08393,1,"Dynein heavy chain, N-terminal region 2"
PF12774,1,Hydrolytic ATP binding site of dynein motor region
PF12777,1,Microtubule-binding stalk of dynein motor
PF12780,1,P-loop containing dynein motor region D4
PF12781,1,ATP-binding dynein motor region
PF18198,1,Dynein heavy chain AAA lid domain
PF10247,1,Reactive mitochondrial oxygen species modulator 1
PF01149,1,Formamidopyrimidine-DNA glycosylase N-terminal domain
PF06831,1,Formamidopyrimidine-DNA glycosylase H2TH domain
PF01743,1,Poly A polymerase head domain
PF02194,1,PXA domain
PF03223,1,V-ATPase subunit C
PF03941,1,"Inner centromere protein, ARK binding region"
PF20238,1,Family of unknown function (DUF6595)
PF01491,1,Frataxin-like domain
PF17035,1,Bromodomain extra-terminal - transcription regulation
PF10441,1,Urb2/Npa2 family
PF12907,1,Zinc-binding
PF01981,1,Peptidyl-tRNA hydrolase PTH2
PF03661,1,Transmembrane protein 33/Nucleoporin POM33
PF08209,1,Sgf11 (transcriptional regulation protein)
PF07978,1,NIPSNAP
PF08625,1,Utp13 specific WD40 associated domain
PF16158,1,Ig-like domain from next to BRCA1 gene
PF10429,1,Nuclear pore RNA shuttling protein Mtr2
PF09810,1,Exonuclease V - a 5' deoxyribonuclease
PF09429,1,WW domain binding protein 11
PF01777,1,Ribosomal L27e protein family
PF01411,1,tRNA synthetases class II (A)
PF02272,1,DHHA1 domain
PF03998,1,Utp11 protein
PF12157,1,Protein of unknown function (DUF3591)
PF02251,1,Proteasome activator pa28 alpha subunit
PF02252,1,Proteasome activator pa28 beta subunit
PF11416,1,"Syntaxin-5 N-terminal, Sly1p-binding domain"
PF01210,1,NAD-dependent glycerol-3-phosphate dehydrogenase N-terminus
PF07479,1,NAD-dependent glycerol-3-phosphate dehydrogenase C-terminus
PF20618,1,"Bacterial GPD, NAD-dependent C-terminal"
PF00586,1,"AIR synthase related protein, N-terminal domain"
PF01071,1,"Phosphoribosylglycinamide synthetase, ATP-grasp (A) domain"
PF02843,1,"Phosphoribosylglycinamide synthetase, C domain"
PF02844,1,"Phosphoribosylglycinamide synthetase, N domain"
PF05983,1,MED7 protein
PF18098,1,26S proteasome regulatory subunit RPN5 C-terminal domain
PF16835,1,Pre-mRNA-splicing factor SF3a complex subunit 2 (Prp11)
PF20263,1,LYR motif-containing protein 2-like
PF04048,1,Sec8 exocyst complex component specific domain
PF10230,1,Lipid-droplet associated hydrolase
PF09763,1,Exocyst complex component Sec3
PF15277,1,Exocyst complex component SEC3 N-terminal PIP2 binding PH
PF07940,1,Heparinase II/III-like protein
PF09779,1,Ima1 N-terminal domain
PF06775,1,Putative adipose-regulatory protein (Seipin)
PF04908,1,"SH3-binding, glutamic acid-rich protein"
PF03815,1,LCCL domain
PF12739,1,ER-Golgi trafficking TRAPP I complex 85 kDa subunit
PF05131,1,Pep3/Vps18/deep orange family
PF03879,1,Cgr1 family
PF19117,1,Mitochondrial import 2
PF00224,1,"Pyruvate kinase, barrel domain"
PF02887,1,"Pyruvate kinase, alpha/beta domain"
PF00834,1,Ribulose-phosphate 3 epimerase family
PF02046,1,Cytochrome c oxidase subunit VIa
PF18004,1,26S proteasome regulatory subunit RPN2 C-terminal domain
PF01749,1,Importin beta binding domain
PF16186,1,Atypical Arm repeat
PF00886,1,Ribosomal protein S16
PF13607,1,Succinyl-CoA ligase like flavodoxin domain
PF10213,1,Mitochondrial ribosomal subunit protein
PF05907,1,"CXXC motif containing zinc binding protein, eukaryotic"
PF07366,1,SnoaL-like polyketide cyclase
PF12680,1,SnoaL-like domain
PF07779,1,10 TM Acyl Transferase domain found in Cas1p
PF08559,1,"Cut8, nuclear proteasome tether protein"
PF08639,1,DNA replication regulator SLD3
PF04494,1,"WD40 associated region in TFIID subunit, NTD2 domain"
PF01294,1,Ribosomal protein L13e
PF00154,1,recA bacterial DNA recombination protein
PF13481,1,AAA domain
PF02891,1,MIZ/SP-RING zinc finger
PF14324,1,PINIT domain
PF04227,1,Indigoidine synthase A like protein
PF00940,1,DNA-dependent RNA polymerase
PF14700,1,DNA-directed RNA polymerase N-terminal
PF02391,1,MoaE protein
PF08610,1,Peroxisomal membrane protein (Pex16)
PF15519,1,linker between RRM2 and RRM3 domains in RBM39 protein
PF05002,1,SGS domain
PF00186,1,Dihydrofolate reductase
PF00444,1,Ribosomal protein L36
PF16205,1,Ribosomal_S17 N-terminal
PF05026,1,"Dcp2, box A domain"
PF07721,1,Tetratricopeptide repeat
PF14572,1,Phosphoribosyl synthetase-associated domain
PF10276,1,Zinc-finger domain
PF02861,1,"Clp amino terminal domain, pathogenicity island component"
PF07743,1,HSCB C-terminal oligomerisation domain
PF02296,1,"Alpha adaptin AP2, C-terminal domain"
PF06650,1,SHR-binding domain of vacuolar-sorting associated protein 13
PF12624,1,N-terminal region of Chorein or VPS13
PF16908,1,"Vacuolar sorting-associated protein 13, N-terminal"
PF16909,1,Vacuolar-sorting-associated 13 protein C-terminal
PF16910,1,Repeating coiled region of VPS13
PF02141,1,DENN (AEX-3) domain
PF01263,1,Aldose 1-epimerase
PF01282,1,Ribosomal protein S24e
PF06432,1,Phosphatidylinositol N-acetylglucosaminyltransferase
PF12896,1,"Anaphase-promoting complex, cyclosome, subunit 4"
PF01975,1,Survival protein SurE
PF00827,1,Ribosomal L15
PF03690,1,Uncharacterised protein family (UPF0160)
PF04006,1,Mpp10 protein
PF00189,1,"Ribosomal protein S3, C-terminal domain"
PF07650,1,KH domain
PF01655,1,Ribosomal protein L32
PF01875,1,Memo-like protein
PF04716,1,ETC complex I subunit conserved region
PF01783,1,Ribosomal L32p protein family
PF01597,1,Glycine cleavage H-protein
PF01465,1,GRIP domain
PF19445,1,C-terminal region of eIF3h
PF12333,1,Rix1 complex component involved in 60S ribosome maturation
PF01196,1,Ribosomal protein L17
PF10453,1,Nuclear fragile X mental retardation-interacting protein 1 (NUFIP1)
PF00800,1,Prephenate dehydratase
PF04241,1,Protein of unknown function (DUF423)
PF07780,1,Spb1 C-terminal domain
PF11861,1,Domain of unknown function (DUF3381)
PF14611,1,Mitochondrial inner-membrane-bound regulator
PF10297,1,Minimal binding motif of Hap4 for binding to Hap2/3/5
PF15341,1,Ribosome biogenesis protein SLX9
PF10187,1,"FAM192A/Fyv6, N-terminal domain"
PF09751,1,Nuclear protein Es2
PF04880,1,"NUDE protein, C-terminal conserved region"
PF01200,1,Ribosomal protein S28e
PF16881,1,N-terminal domain of lipoyl synthase of Radical_SAM family
PF10415,1,Fumarase C C-terminus
PF13892,1,DNA-binding domain
PF01776,1,Ribosomal L22e protein family
PF08068,1,DKCLD (NUC011) domain
PF16198,1,tRNA pseudouridylate synthase B C-terminal domain
PF04801,1,RPC5 protein
PF16899,1,Cyclin C-terminal domain
PF03133,1,Tubulin-tyrosine ligase family
PF06732,1,Pescadillo N-terminus
PF02791,1,DDT domain
PF10537,1,ATP-utilising chromatin assembly and remodelling N-terminal
PF15612,1,"WSTF, HB1, Itc1p, MBD9 motif 1"
PF15613,1,"Williams-Beuren syndrome DDT (WSD), D-TOX E motif"
PF05832,1,Eukaryotic protein of unknown function (DUF846)
PF05625,1,PAXNEB protein
PF04826,1,Armadillo-like
PF08614,1,Autophagy protein 16 (ATG16)
PF10263,1,SprT-like family
PF04430,1,Protein of unknown function (DUF498/DUF598)
PF01991,1,ATP synthase (E/31 kDa) subunit
PF05020,1,"NPL4 family, putative zinc binding region"
PF05021,1,NPL4 family
PF11543,1,Nuclear pore localisation protein NPL4
PF10310,1,Family of unknown function (DUF5427)
PF00329,1,"Respiratory-chain NADH dehydrogenase, 30 Kd subunit"
PF05700,1,Breast carcinoma amplified sequence 2 (BCAS2)
PF08442,1,ATP-grasp domain
PF05181,1,XPA protein C-terminus
PF01667,1,Ribosomal protein S27
PF07742,1,BTG family
PF06968,1,Biotin and Thiamin Synthesis associated domain
PF01633,1,Choline/ethanolamine kinase
PF08294,1,TIM21
PF01990,1,ATP synthase (F/14-kDa) subunit
PF04934,1,MED6 mediator sub complex component
PF18011,1,C-terminal domain found in long catalases
PF03033,1,Glycosyltransferase family 28 N-terminal domain
PF07064,1,RIC1
PF16897,1,C-terminal region of MMR_HSR1 domain
PF07741,1,Brf1-like TBP-binding domain
PF06941,1,"5' nucleotidase, deoxy (Pyrimidine), cytosolic type C protein (NT5C)"
PF04437,1,RINT-1 / TIP-1 family
PF16546,1,Homodimerisation domain of SGTA
PF04564,1,U-box domain
PF08606,1,Prp19/Pso4-like
PF04922,1,DIE2/ALG10 family
PF08317,1,Spc7 kinetochore protein
PF18210,1,Knl1 RWD C-terminal domain
PF01967,1,MoaC family
PF06463,1,Molybdenum Cofactor Synthesis C
PF06110,1,Eukaryotic protein of unknown function (DUF953)
PF02475,1,Met-10+ like-protein
PF08596,1,"Lethal giant larvae(Lgl) like, C-terminal"
PF14595,1,Thioredoxin
PF00719,1,Inorganic pyrophosphatase
PF05997,1,"Nucleolar protein,Nop52"
PF00576,1,HIUase/Transthyretin family
PF08228,1,RNase P subunit Pop3
PF08755,1,Hemimethylated DNA-binding protein YccV like
PF13369,1,Transglutaminase-like superfamily
PF04652,1,Vta1 like
PF18097,1,Vta1 C-terminal domain
PF08427,1,"Armadillo-like helical domain-containing protein 3, C-terminal"
PF00584,1,SecE/Sec61-gamma subunits of protein translocation complex
PF08551,1,Eukaryotic integral membrane protein (DUF1751)
PF08555,1,FAM32A
PF01432,1,Peptidase family M3
PF12737,1,C-terminal domain of homeodomain 1
PF06814,1,Lung seven transmembrane receptor
PF15963,1,Myb DNA-binding like
PF02104,1,SURF1 family
PF01608,1,I/LWEQ domain
PF10197,1,N-terminal domain of CBF1 interacting co-repressor CIR
PF12542,1,Pre-mRNA splicing factor
PF01259,1,SAICAR synthetase
PF03881,1,Fructosamine kinase
PF01192,1,RNA polymerase Rpb6
PF13173,1,AAA domain
PF17911,1,Ski2 N-terminal region
PF09243,1,Mitochondrial small ribosomal subunit Rsm22
PF04180,1,Low temperature viability protein
PF10280,1,Mediator complex protein
PF02970,1,Tubulin binding cofactor A
PF12298,1,Eukaryotic mitochondrial regulator protein
PF07189,1,Splicing factor 3B subunit 10 (SF3b10)
PF03630,1,Fumble
PF08752,1,Coatomer gamma subunit appendage platform subdomain
PF16381,1,Coatomer subunit gamma-1 C-terminal appendage platform
PF00075,1,RNase H
PF05182,1,Fip1 motif
PF10354,1,rRNA (uridine-N3-)-methyltransferase BTM5-like
PF06624,1,Ribosome associated membrane protein RAMP4
PF12265,1,Histone-binding protein RBBP4 or subunit C of CAF1 complex
PF05680,1,ATP synthase E chain
PF04118,1,"Dopey, N-terminal"
PF02602,1,Uroporphyrinogen-III synthase HemD
PF00102,1,Protein-tyrosine phosphatase
PF03473,1,MOSC domain
PF11957,1,THO complex subunit 1 transcription elongation factor
PF13446,1,A repeated domain in UCH-protein
PF16528,1,Exocyst component 84 C-terminal
PF08655,1,DASH complex subunit Ask1
PF04124,1,Dor1-like family
PF08153,1,NGP1NT (NUC091) domain
PF00113,1,"Enolase, C-terminal TIM barrel domain"
PF03952,1,"Enolase, N-terminal domain"
PF02727,1,"Copper amine oxidase, N2 domain"
PF02728,1,"Copper amine oxidase, N3 domain"
PF12455,1,Dynein associated protein
PF14538,1,Raptor N-terminal CASPase like domain
